Book,Author,Who Has It,Amazon,Liked?,ISBN,Cover_URL
Product development flow,Donald G. Reinertsen ,,https://www.amazon.ca/Principles-Product-Development-Flow-Generation/dp/1935401009,False,9781935401001,https://covers.openlibrary.org/b/isbn/9781935401001-L.jpg
Data smart,John W. Foreman,,https://www.amazon.ca/Data-Smart-Science-Transform-Information/dp/111866146X,False,9781118661468,https://covers.openlibrary.org/b/isbn/9781118661468-L.jpg
Mindset,Carol S. Dweck,,https://www.amazon.ca/Mindset-Psychology-Carol-S-Dweck/dp/0345472322,False,9780345472328,https://covers.openlibrary.org/b/isbn/9780345472328-L.jpg
Leaders eat last,Simon Sinek,,https://www.amazon.ca/Leaders-Eat-Last-Together-Others/dp/1480542571,False,9781480542570,https://covers.openlibrary.org/b/isbn/9781480542570-L.jpg
Innovators method,"Nathan Furr, Jeff Dyer",,https://www.amazon.ca/Innovators-Method-Bringing-Start-up-Organization/dp/1625271468,False,9781625271464,https://covers.openlibrary.org/b/isbn/9781625271464-L.jpg
Lean analytics,Alistair Croll and Benjamin Yoskovitz,,https://www.amazon.ca/Lean-Analytics-Better-Startup-Faster/dp/1449335675,True,9781449335670,https://covers.openlibrary.org/b/isbn/9781449335670-L.jpg
Lean startup,Eric Ries,,https://www.amazon.ca/Lean-Startup-Entrepreneurs-Continuous-Innovation/dp/0307887898,True,9780307887894,https://covers.openlibrary.org/b/isbn/9780307887894-L.jpg
Crossing the chasm,Geoffrey A. Moore,,https://www.amazon.ca/Crossing-Chasm-Marketing-Disruptive-Mainstream/dp/0060517123,True,9780060517120,https://covers.openlibrary.org/b/isbn/9780060517120-L.jpg
Positioning,Al Ries and Jack Trout,,https://www.amazon.ca/Positioning-Battle-Your-Al-Ries-ebook/dp/B006B7LQ90,False,,
Flow,Mihaly Csikszentmihalyi,,https://www.amazon.ca/Flow-Psychology-Experience-Mihaly-Csikszentmihalyi/dp/0061339202,False,9780061339202,https://covers.openlibrary.org/b/isbn/9780061339202-L.jpg
Agile product development with scrum,Roman Pichler,,https://www.amazon.ca/Agile-Product-Management-Scrum-Customers/dp/0321605780,False,9780321605788,https://covers.openlibrary.org/b/isbn/9780321605788-L.jpg
Principles,Ray Dalio,,https://www.amazon.ca/Principles-Life-Work-Ray-Dalio/dp/1501124021,False,9781501124020,https://covers.openlibrary.org/b/isbn/9781501124020-L.jpg
Inspired,Marty Cagan,,https://www.amazon.ca/INSPIRED-Create-Tech-Products-Customers/dp/1119387507,False,9781119387503,https://covers.openlibrary.org/b/isbn/9781119387503-L.jpg
The design of everyday things,Don Norman,,https://www.amazon.ca/Design-Everyday-Things-Revised-Expanded/dp/0465050654,False,9780465050659,https://covers.openlibrary.org/b/isbn/9780465050659-L.jpg
Made to stick,Chip Heath and Dan Heath,,https://www.amazon.ca/Made-Stick-Ideas-Survive-Others/dp/1400064287,False,9781400064281,https://covers.openlibrary.org/b/isbn/9781400064281-L.jpg
Start with why,Simon Sinek,,https://www.amazon.ca/Start-Why-Leaders-Inspire-Everyone/dp/1591846447,False,9781591846444,https://covers.openlibrary.org/b/isbn/9781591846444-L.jpg
